show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s15,TV Show,Title 15,Director B,"Actor C, Actor D",United States,"December 22, 2020",2015,TV-14,4 Seasons,Action & Adventure,Lorem ipsum dolor sit amet.
s16,Movie,Title 16,,"Actor E, Actor F",Canada,"April 22, 2017",2002,,88 min,Documentaries,Lorem ipsum dolor sit amet.
s17,TV Show,Title 17,Director C,"Actor A, Actor D",Canada,"October 15, 2016",2020,TV-14,106 min,,Lorem ipsum dolor sit amet.
s18,Movie,Title 18,,"Actor A, Actor B",United Kingdom,"May 05, 2017",2007,TV-MA,2 Seasons,"Comedies, Dramas",Lorem ipsum dolor sit amet.
s19,Movie,Title 19,Director B,"Actor A, Actor B",Canada,"May 29, 2020",2011,,2 Seasons,"Children & Family Movies, Comedies",Lorem ipsum dolor sit amet.
s20,Movie,Title 20,Director C,,United Kingdom,"August 28, 2017",2014,TV-14,1 Seasons,"Children & Family Movies, Comedies",Lorem ipsum dolor sit amet.
s21,Movie,Title 21,Director A,"Actor C, Actor D",United States,"July 14, 2021",2011,,40 min,"Children & Family Movies, Comedies",Lorem ipsum dolor sit amet.
s22,Movie,Title 22,Director C,"Actor C, Actor D",India,"August 25, 2017",2018,PG-13,1 Seasons,,Lorem ipsum dolor sit amet.
s23,Movie,Title 23,Director A,"Actor A, Actor B",Canada,"April 09, 2016",2013,TV-14,3 Seasons,Action & Adventure,Lorem ipsum dolor sit amet.
s24,TV Show,Title 24,,"Actor A, Actor B",United States,"May 02, 2015",2005,,106 min,Action & Adventure,Lorem ipsum dolor sit amet.
s25,TV Show,Title 25,Director C,"Actor A, Actor B",United Kingdom,"April 06, 2017",2010,TV-MA,3 Seasons,Documentaries,Lorem ipsum dolor sit amet.
s26,TV Show,Title 26,Director A,"Actor A, Actor B",United Kingdom,"February 09, 2018",2017,,122 min,,Lorem ipsum dolor sit amet.
s27,Movie,Title 27,Director C,"Actor A, Actor B",India,"December 02, 2021",2017,R,78 min,Action & Adventure,Lorem ipsum dolor sit amet.
s28,TV Show,Title 28,Director A,"Actor E, Actor F",India,"September 10, 2021",2004,PG-13,3 Seasons,"Children & Family Movies, Comedies",Lorem ipsum dolor sit amet.
s29,Movie,Title 29,Director A,"Actor E, Actor F",United Kingdom,"November 04, 2020",2012,,2 Seasons,"Children & Family Movies, Comedies",Lorem ipsum dolor sit amet.
s30,TV Show,Title 30,Director B,"Actor A, Actor D",,"September 24, 2020",2010,TV-14,2 Seasons,Documentaries,Lorem ipsum dolor sit amet.
s31,TV Show,Title 31,Director A,,United States,"January 17, 2016",2011,R,111 min,"Comedies, Dramas",Lorem ipsum dolor sit amet.
s32,TV Show,Title 32,Director B,"Actor E, Actor F",Canada,"April 06, 2019",2006,R,2 Seasons,"Dramas, International Movies",Lorem ipsum dolor sit amet.
s33,TV Show,Title 33,Director B,"Actor E, Actor F",,"November 02, 2018",2004,TV-MA,5 Seasons,"Dramas, International Movies",Lorem ipsum dolor sit amet.
s34,TV Show,Title 34,Director A,"Actor E, Actor F",United States,"July 01, 2020",2003,TV-MA,48 min,"Comedies, Dramas",Lorem ipsum dolor sit amet.
s35,TV Show,Title 35,Director A,"Actor E, Actor F",Canada,"July 24, 2021",2010,,4 Seasons,,Lorem ipsum dolor sit amet.
s36,Movie,Title 36,Director B,"Actor C, Actor D",India,"April 24, 2021",2020,,4 Seasons,"Dramas, International Movies",Lorem ipsum dolor sit amet.
s37,Movie,Title 37,Director B,,Canada,"December 06, 2021",2016,TV-14,5 Seasons,"Comedies, Dramas",Lorem ipsum dolor sit amet.
s38,Movie,Title 38,Director B,"Actor A, Actor D",India,"November 11, 2020",2006,TV-MA,3 Seasons,Documentaries,Lorem ipsum dolor sit amet.
s39,Movie,Title 39,Director C,"Actor A, Actor B",,"October 25, 2018",2016,R,4 Seasons,Documentaries,Lorem ipsum dolor sit amet.
s40,Movie,Title 40,Director C,"Actor E, Actor F",United States,"October 23, 2016",2006,PG-13,1 Seasons,,Lorem ipsum dolor sit amet.
s41,Movie,Title 41,Director B,,Canada,"July 31, 2020",2020,TV-14,131 min,Action & Adventure,Lorem ipsum dolor sit amet.
s42,TV Show,Title 42,Director B,"Actor C, Actor D",United States,"November 09, 2018",2015,TV-14,66 min,"Children & Family Movies, Comedies",Lorem ipsum dolor sit amet.
s43,TV Show,Title 43,,"Actor A, Actor D",,"May 19, 2021",2006,TV-14,2 Seasons,"Children & Family Movies, Comedies",Lorem ipsum dolor sit amet.
s44,TV Show,Title 44,Director B,"Actor C, Actor D",India,"April 09, 2017",2014,PG-13,51 min,,Lorem ipsum dolor sit amet.
s45,TV Show,Title 45,Director A,"Actor A, Actor B",United States,"April 01, 2015",2015,PG-13,1 Seasons,,Lorem ipsum dolor sit amet.
s46,TV Show,Title 46,Director C,"Actor E, Actor F",Canada,"January 30, 2020",2015,,4 Seasons,"Comedies, Dramas",Lorem ipsum dolor sit amet.
s47,Movie,Title 47,,"Actor A, Actor B",United States,"June 07, 2015",2009,TV-MA,1 Seasons,Documentaries,Lorem ipsum dolor sit amet.
s48,Movie,Title 48,,"Actor A, Actor D",Canada,"March 18, 2018",2021,PG-13,51 min,"Children & Family Movies, Comedies",Lorem ipsum dolor sit amet.
s49,Movie,Title 49,Director C,"Actor A, Actor B",India,"March 09, 2017",2021,PG-13,1 min,Action & Adventure,Lorem ipsum dolor sit amet.
s50,Movie,Title 50,Director B,"Actor A, Actor D",United Kingdom,"October 15, 2017",2008,,140 min,"Children & Family Movies, Comedies",Lorem ipsum dolor sit amet.
s51,Movie,Title 51,Director A,"Actor E, Actor F",United Kingdom,"August 17, 2016",2014,TV-14,2 Seasons,"Comedies, Dramas",Lorem ipsum dolor sit amet.
s52,Movie,Title 52,Director C,"Actor A, Actor B",United States,"April 30, 2021",2018,TV-MA,5 Seasons,Action & Adventure,Lorem ipsum dolor sit amet.
s53,Movie,Title 53,,"Actor A, Actor D",United States,"January 26, 2017",2007,PG-13,1 Seasons,"Children & Family Movies, Comedies",Lorem ipsum dolor sit amet.
s54,TV Show,Title 54,,"Actor C, Actor D",Canada,"May 12, 2018",2006,,40 min,Documentaries,Lorem ipsum dolor sit amet.
s55,Movie,Title 55,,"Actor A, Actor D",India,"April 24, 2015",2003,R,4 Seasons,Action & Adventure,Lorem ipsum dolor sit amet.
s56,TV Show,Title 56,Director A,"Actor A, Actor B",India,"March 30, 2015",2002,R,5 Seasons,"Children & Family Movies, Comedies",Lorem ipsum dolor sit amet.
s57,TV Show,Title 57,Director B,"Actor A, Actor B",United Kingdom,"August 22, 2016",2000,TV-MA,4 Seasons,"Comedies, Dramas",Lorem ipsum dolor sit amet.
s58,TV Show,Title 58,Director A,"Actor A, Actor B",Canada,"May 26, 2020",2020,TV-14,4 Seasons,"Dramas, International Movies",Lorem ipsum dolor sit amet.
s59,TV Show,Title 59,Director C,"Actor A, Actor D",United States,"December 17, 2020",2006,R,1 Seasons,"Dramas, International Movies",Lorem ipsum dolor sit amet.
s60,TV Show,Title 60,Director B,"Actor E, Actor F",Canada,"May 29, 2021",2006,,1 Seasons,"Comedies, Dramas",Lorem ipsum dolor sit amet.
s61,TV Show,Title 61,Director A,"Actor C, Actor D",,"December 25, 2018",2001,R,1 Seasons,"Comedies, Dramas",Lorem ipsum dolor sit amet.
s62,TV Show,Title 62,Director C,,,"May 13, 2017",2001,TV-14,2 Seasons,"Comedies, Dramas",Lorem ipsum dolor sit amet.
s63,Movie,Title 63,Director B,,United States,"December 23, 2017",2004,TV-14,81 min,"Children & Family Movies, Comedies",Lorem ipsum dolor sit amet.
s64,Movie,Title 64,Director C,"Actor C, Actor D",India,"January 27, 2021",2010,TV-14,5 Seasons,"Comedies, Dramas",Lorem ipsum dolor sit amet.
s65,TV Show,Title 65,Director A,"Actor E, Actor F",United Kingdom,"June 18, 2015",2000,PG-13,63 min,"Children & Family Movies, Comedies",Lorem ipsum dolor sit amet.
s66,TV Show,Title 66,Director C,"Actor E, Actor F",,"October 16, 2019",2000,TV-14,7 min,,Lorem ipsum dolor sit amet.
s67,TV Show,Title 67,Director B,"Actor E, Actor F",India,"June 17, 2018",2013,TV-MA,94 min,"Children & Family Movies, Comedies",Lorem ipsum dolor sit amet.
s68,Movie,Title 68,Director B,"Actor A, Actor B",,"October 01, 2017",2008,PG-13,4 Seasons,,Lorem ipsum dolor sit amet.
s69,TV Show,Title 69,,"Actor C, Actor D",,"January 08, 2016",2000,TV-14,113 min,"Children & Family Movies, Comedies",Lorem ipsum dolor sit amet.
s70,Movie,Title 70,,"Actor C, Actor D",India,"July 12, 2020",2000,,102 min,,Lorem ipsum dolor sit amet.
s71,TV Show,Title 71,Director A,"Actor E, Actor F",,"February 28, 2018",2016,TV-14,147 min,"Children & Family Movies, Comedies",Lorem ipsum dolor sit amet.
s72,TV Show,Title 72,Director C,"Actor C, Actor D",United Kingdom,"April 13, 2018",2010,TV-14,7 min,,Lorem ipsum dolor sit amet.
s73,Movie,Title 73,,"Actor A, Actor B",,"January 05, 2019",2008,TV-MA,87 min,"Children & Family Movies, Comedies",Lorem ipsum dolor sit amet.
s74,TV Show,Title 74,Director B,,United Kingdom,"June 05, 2021",2014,,72 min,,Lorem ipsum dolor sit amet.
s75,Movie,Title 75,,"Actor A, Actor D",Canada,"April 30, 2021",2007,R,2 Seasons,"Comedies, Dramas",Lorem ipsum dolor sit amet.
s76,Movie,Title 76,Director A,,,"July 27, 2017",2017,PG-13,81 min,Documentaries,Lorem ipsum dolor sit amet.
s77,TV Show,Title 77,,"Actor C, Actor D",India,"January 21, 2018",2012,PG-13,134 min,"Dramas, International Movies",Lorem ipsum dolor sit amet.
s78,TV Show,Title 78,,"Actor A, Actor B",United States,"May 09, 2019",2018,,90 min,"Children & Family Movies, Comedies",Lorem ipsum dolor sit amet.
s79,Movie,Title 79,Director B,"Actor E, Actor F",United Kingdom,"March 03, 2018",2007,TV-MA,66 min,"Comedies, Dramas",Lorem ipsum dolor sit amet.
s80,Movie,Title 80,Director A,,Canada,"February 28, 2020",2008,,1 Seasons,"Children & Family Movies, Comedies",Lorem ipsum dolor sit amet.
s81,TV Show,Title 81,Director A,"Actor C, Actor D",Canada,"February 16, 2021",2005,R,115 min,Action & Adventure,Lorem ipsum dolor sit amet.
s82,Movie,Title 82,Director B,"Actor C, Actor D",Canada,"August 18, 2017",2002,,5 Seasons,"Children & Family Movies, Comedies",Lorem ipsum dolor sit amet.
s83,Movie,Title 83,Director A,"Actor C, Actor D",,"December 20, 2020",2005,TV-MA,75 min,"Children & Family Movies, Comedies",Lorem ipsum dolor sit amet.
s84,Movie,Title 84,Director A,,United States,"July 05, 2015",2019,TV-14,3 Seasons,Action & Adventure,Lorem ipsum dolor sit amet.
s85,Movie,Title 85,,"Actor C, Actor D",,"November 17, 2021",2011,,123 min,"Dramas, International Movies",Lorem ipsum dolor sit amet.
s86,TV Show,Title 86,Director A,"Actor C, Actor D",Canada,"March 26, 2016",2009,,1 Seasons,"Comedies, Dramas",Lorem ipsum dolor sit amet.
s87,TV Show,Title 87,,"Actor A, Actor B",Canada,"November 18, 2017",2001,TV-MA,107 min,"Comedies, Dramas",Lorem ipsum dolor sit amet.
s88,TV Show,Title 88,Director C,"Actor E, Actor F",United Kingdom,"June 13, 2020",2001,,4 Seasons,Action & Adventure,Lorem ipsum dolor sit amet.
s89,TV Show,Title 89,,"Actor C, Actor D",United States,"May 19, 2016",2005,,3 Seasons,Documentaries,Lorem ipsum dolor sit amet.
s90,Movie,Title 90,Director A,"Actor E, Actor F",United States,"April 26, 2019",2014,,42 min,"Dramas, International Movies",Lorem ipsum dolor sit amet.
s91,TV Show,Title 91,Director C,,,"November 29, 2020",2020,,37 min,Action & Adventure,Lorem ipsum dolor sit amet.
s92,Movie,Title 92,Director A,"Actor A, Actor B",United Kingdom,"October 22, 2015",2000,TV-14,136 min,Documentaries,Lorem ipsum dolor sit amet.
s93,Movie,Title 93,,"Actor C, Actor D",United Kingdom,"June 10, 2016",2017,R,126 min,,Lorem ipsum dolor sit amet.
s94,Movie,Title 94,Director A,"Actor A, Actor B",United States,"June 26, 2020",2019,PG-13,51 min,Documentaries,Lorem ipsum dolor sit amet.
s95,Movie,Title 95,Director A,,United Kingdom,"November 03, 2020",2019,TV-MA,83 min,"Children & Family Movies, Comedies",Lorem ipsum dolor sit amet.
s96,TV Show,Title 96,,"Actor E, Actor F",United States,"April 27, 2015",2016,PG-13,2 Seasons,"Dramas, International Movies",Lorem ipsum dolor sit amet.
s97,Movie,Title 97,Director C,"Actor E, Actor F",United Kingdom,"September 03, 2018",2020,TV-MA,4 Seasons,Documentaries,Lorem ipsum dolor sit amet.
s98,TV Show,Title 98,Director C,,,"May 30, 2019",2021,TV-14,1 Seasons,Action & Adventure,Lorem ipsum dolor sit amet.
s99,TV Show,Title 99,Director B,"Actor C, Actor D",United Kingdom,"February 16, 2016",2006,TV-MA,14 min,"Children & Family Movies, Comedies",Lorem ipsum dolor sit amet.
s100,TV Show,Title 100,Director B,,United Kingdom,"July 05, 2019",2005,R,4 Seasons,"Comedies, Dramas",Lorem ipsum dolor sit amet.
